f1-Re,f1-Im,f2-Re,f2-Im,f3-Re,f3-Im,f4-Re,f4-Im,f5-Re,f5-Im,f6-Re,f6-Im,f7-Re,f7-Im,f8-Re,f8-Im,f9-Re,f9-Im,f10-Re,f10-Im,f11-Re,f11-Im,f12-Re,f12-Im,f13-Re,f13-Im,f14-Re,f14-Im,f15-Re,f15-Im,f16-Re,f16-Im,f17-Re,f17-Im,f18-Re,f18-Im,f19-Re,f19-Im,f20-Re,f20-Im,f21-Re,f21-Im,f22-Re,f22-Im,f23-Re,f23-Im,f24-Re,f24-Im,f25-Re,f25-Im,f26-Re,f26-Im,f27-Re,f27-Im,f28-Re,f28-Im,SoC,Battery,cycle
0.227844,-0.31399,0.182858,-0.197273,0.16327,-0.160068,0.138709,-0.113159,0.121685,-0.0827244,0.115198,-0.0715657,0.0999994,-0.0448171,0.0939981,-0.0340987,0.08853,-0.0242287,0.0849533,-0.0178982,0.083583,-0.0156187,0.0801824,-0.0106425,0.0785959,-0.00886126,0.076789,-0.00731951,0.0752911,-0.00642048,0.0746111,-0.00617767,0.0743373,-0.00607296,0.0723488,-0.00590226,0.0710223,-0.00599771,0.0683944,-0.00630573,0.0671876,-0.00636756,0.0662643,-0.00642893,0.0658355,-0.00643459,0.0628637,-0.0062876,0.0610755,-0.00598993,0.0587408,-0.00525706,0.056584,-0.00413407,0.0556098,-0.00338927,100,B01,1
0.169218,-0.0801819,0.143119,-0.0584465,0.131987,-0.0475204,0.121527,-0.0365059,0.114204,-0.028928,0.111257,-0.026034,0.103621,-0.0191685,0.0999977,-0.0162572,0.0961117,-0.0134258,0.0930548,-0.0114846,0.0917274,-0.0107493,0.0879758,-0.00902308,0.0859714,-0.00830391,0.0836175,-0.00752091,0.0816441,-0.00697512,0.0807858,-0.00678943,0.0804437,-0.00675621,0.0780033,-0.00659487,0.0764469,-0.00674041,0.0734537,-0.006956,0.0721113,-0.00695855,0.071084,-0.00697592,0.0706244,-0.00694294,0.0675545,-0.00663492,0.0656989,-0.00623636,0.0634103,-0.00552331,0.0613344,-0.00451087,0.0603699,-0.00390961,10,B01,1
0.164845,-0.0682021,0.140015,-0.0519843,0.129367,-0.0429687,0.119331,-0.0334695,0.112315,-0.0267775,0.109496,-0.0241839,0.102197,-0.0179377,0.0987552,-0.0152328,0.095082,-0.0126023,0.0922152,-0.0108046,0.0909675,-0.010115,0.0874486,-0.00853191,0.0855439,-0.00788178,0.0833018,-0.00725002,0.081402,-0.00681466,0.0805406,-0.00669083,0.0802001,-0.0066125,0.0777615,-0.00651926,0.0762367,-0.00667663,0.073227,-0.00692151,0.0718988,-0.00697122,0.0708948,-0.0069565,0.0703985,-0.0069361,0.0672686,-0.00664203,0.0654208,-0.00627013,0.0631184,-0.00553666,0.0610197,-0.00451772,0.0600619,-0.00387495,15,B01,1
0.161374,-0.0676426,0.137027,-0.0511441,0.12665,-0.0420881,0.116921,-0.0325869,0.110179,-0.0259168,0.107488,-0.0233391,0.100562,-0.0171685,0.0973079,-0.0145151,0.0938554,-0.011934,0.0911704,-0.0101736,0.0900263,-0.00952486,0.0867629,-0.00804422,0.0850021,-0.00746341,0.0828829,-0.00691558,0.0810471,-0.00656349,0.0802155,-0.00644414,0.079875,-0.006402,0.0774927,-0.00640412,0.0759784,-0.00652809,0.0729824,-0.00687898,0.0716602,-0.00690584,0.0706581,-0.00693938,0.0701858,-0.00694874,0.0670357,-0.00666141,0.0652013,-0.00627342,0.0628832,-0.00556085,0.0607481,-0.00453341,0.0597838,-0.00389073,20,B01,1
0.158583,-0.0644642,0.134787,-0.049196,0.124662,-0.0405706,0.115207,-0.0314208,0.108684,-0.0249732,0.106088,-0.0224863,0.0994245,-0.016495,0.0963137,-0.0139263,0.0930207,-0.0114196,0.0904759,-0.00971077,0.0893881,-0.0090832,0.0863022,-0.00766476,0.0846411,-0.00715178,0.082604,-0.00666496,0.0808496,-0.00638532,0.0800105,-0.00629028,0.0796836,-0.00628021,0.0773316,-0.00633265,0.0758095,-0.00653537,0.0728376,-0.00685071,0.0715024,-0.00692664,0.0705111,-0.00694589,0.0700504,-0.00689662,0.0669153,-0.00668629,0.065042,-0.00630126,0.0627089,-0.00557988,0.0605626,-0.00454045,0.0596036,-0.00390555,25,B01,1
0.1559,-0.0616311,0.132573,-0.0472765,0.122695,-0.0389725,0.113545,-0.0301677,0.107268,-0.0239588,0.104767,-0.0215624,0.0983595,-0.0157871,0.0953863,-0.0133079,0.0922525,-0.0109007,0.0898286,-0.00925963,0.0887882,-0.0086409,0.085892,-0.00731857,0.0843013,-0.00682924,0.0823711,-0.00642825,0.0806553,-0.00618862,0.0798462,-0.00615063,0.0795416,-0.00616646,0.0772042,-0.0062635,0.0756816,-0.00643047,0.0727054,-0.00679289,0.0714126,-0.00688392,0.0703898,-0.00691745,0.06991,-0.00693015,0.0667441,-0.00667622,0.0648801,-0.0063459,0.062511,-0.00561719,0.060366,-0.00456088,0.0593747,-0.00389774,30,B01,1
0.153339,-0.0593487,0.130562,-0.045757,0.120937,-0.0377648,0.112041,-0.0292005,0.105978,-0.0231641,0.103577,-0.0208348,0.0974228,-0.0152231,0.0945675,-0.0128194,0.0915552,-0.0104693,0.0892395,-0.00887353,0.0882548,-0.00828885,0.0854887,-0.00700897,0.083979,-0.00657432,0.0821223,-0.00618422,0.0804773,-0.00604307,0.0797015,-0.00600283,0.0793719,-0.00602357,0.0770762,-0.00614668,0.0755771,-0.00640941,0.0726507,-0.00677012,0.0713173,-0.00686496,0.0702997,-0.00688617,0.0698422,-0.00690102,0.0667165,-0.00669601,0.064839,-0.00634209,0.0624448,-0.00562054,0.0602704,-0.00460438,0.0592813,-0.00392494,35,B01,1
0.150899,-0.0577067,0.128426,-0.0445388,0.119028,-0.0367078,0.110409,-0.0283004,0.104574,-0.0223796,0.102263,-0.0200982,0.0963929,-0.014628,0.0936653,-0.0122767,0.0908054,-0.0100067,0.0886164,-0.0084658,0.0876877,-0.0078983,0.085071,-0.00667235,0.0836493,-0.00626578,0.081891,-0.00595628,0.0803144,-0.0058477,0.0795784,-0.00585601,0.0792387,-0.00583313,0.0769843,-0.00605575,0.0755064,-0.00628867,0.072598,-0.00670233,0.0712915,-0.00679518,0.0702969,-0.0068337,0.0698074,-0.00686267,0.0666896,-0.00664592,0.0648092,-0.00633908,0.0624389,-0.00564157,0.0602458,-0.00457353,0.0592421,-0.00393888,40,B01,1
0.148953,-0.0561,0.126794,-0.0435197,0.117558,-0.0358772,0.109136,-0.0276101,0.103477,-0.0217707,0.101249,-0.0195429,0.095578,-0.0141666,0.0929584,-0.0118716,0.0902059,-0.00964812,0.0881152,-0.00814969,0.0872193,-0.00759231,0.0847318,-0.00641245,0.083382,-0.00603163,0.0817019,-0.00578116,0.0801684,-0.00566586,0.0794369,-0.00568698,0.0791113,-0.00566389,0.0769193,-0.00595198,0.0754471,-0.00625487,0.0725693,-0.00661952,0.071274,-0.0067354,0.0702733,-0.00679991,0.0698329,-0.00678225,0.0667081,-0.00663592,0.0648244,-0.00629145,0.0624629,-0.00561397,0.0602604,-0.00458108,0.0592664,-0.00393151,45,B01,1
0.14711,-0.0551366,0.125128,-0.0427779,0.116043,-0.0351904,0.107818,-0.0269805,0.102317,-0.0212192,0.100166,-0.0190186,0.094699,-0.013732,0.092174,-0.0114799,0.0895415,-0.00930154,0.0875358,-0.00782959,0.0866888,-0.00728948,0.0843273,-0.00614813,0.0830345,-0.0057679,0.0814514,-0.0055376,0.0799663,-0.005472,0.0792651,-0.00551091,0.0789653,-0.00551826,0.0768096,-0.00582373,0.0753568,-0.00606999,0.0725442,-0.00653981,0.071232,-0.00667208,0.0702323,-0.00671856,0.0697964,-0.00671748,0.0666847,-0.00657547,0.0648597,-0.00627079,0.0624894,-0.00560131,0.0602886,-0.00456808,0.0593004,-0.00394084,50,B01,1
