PC1,PC2,soc,cycle,battery
0.026984253213842353,-1.3255702148293678,100,1,B01
2.4371538824436505,-0.7249700071570575,10,1,B01
1.8457446039912793,-1.81780332200816,15,1,B01
1.6752980609761934,-1.726382018227087,20,1,B01
1.9690107826092689,-1.472305687976655,25,1,B01
1.8633347936702769,-1.4058310470770545,30,1,B01
1.663733468400269,-1.690810264527386,35,1,B01
1.5068395064460307,-1.4563034232013286,40,1,B01
1.3280780932831502,-2.0255482541889154,45,1,B01
1.2754209195752888,-1.9995916439109618,50,1,B01
2.150442574811646,-1.2398527655005938,55,1,B01
4.3509191183285205,-0.29724319541200084,5,1,B01
1.0711085531055324,-2.356957873334438,60,1,B01
2.0496143775290383,-1.2560214245234773,65,1,B01
0.8577583069435161,-2.2360141307321557,70,1,B01
1.5789494056823914,-1.5249744528250369,75,1,B01
0.6031157942470287,-2.248838457693995,80,1,B01
0.7246635576273774,-2.476161537700442,85,1,B01
0.7224336413866267,-2.4453245724536847,90,1,B01
0.426699412887194,-2.689621918596124,95,1,B01
1.2154227529243642,-0.09158238671622976,100,2,B01
2.6628059460590756,-0.4584271916853715,10,2,B01
2.5987218613215584,0.05736755891924949,15,2,B01
2.340555859721485,-0.4371573669119316,20,2,B01
2.404452837444918,-0.4795033667680616,25,2,B01
1.7503699931032355,-0.9688294231697184,30,2,B01
2.034122198291193,-0.8157166138145513,35,2,B01
1.977950065455669,-0.8009472327389998,40,2,B01
1.9173051420493785,-0.9483069275947249,45,2,B01
1.5985326276100658,-1.218866148460771,50,2,B01
3.110966853849549,0.09536855559594104,55,2,B01
3.4720361402273854,0.25485232328777074,5,2,B01
1.546578124526262,-1.045242024356011,60,2,B01
1.0393988972956423,-1.8210377194324006,65,2,B01
1.5123534801313472,-0.967930202099217,70,2,B01
1.0889432728363273,-1.5255107573370776,75,2,B01
0.5337954046880916,-2.189220278944331,80,2,B01
1.596076493296485,-1.2255115498873148,85,2,B01
0.9720995179308309,-1.647275457603024,90,2,B01
1.0364671989886334,-1.7323135456310486,95,2,B01
-1.8385362164894965,0.8619291171005603,100,1,B02
-0.9689477529682107,-1.353847598204521,10,1,B02
-1.8860778369319664,-1.43271399932134,15,1,B02
-1.6458499118318626,-1.115760579284642,20,1,B02
-1.978692970425524,-1.4283219975647377,25,1,B02
-1.8180018329304066,-1.1894772796778281,30,1,B02
-1.6029034949860153,-0.9614748115956757,35,1,B02
-2.000822017701529,-1.3973640393858324,40,1,B02
-1.924435971473105,-1.2861726381954068,45,1,B02
-2.069084898825821,-1.377925207169366,50,1,B02
-2.0496484009387594,-1.4158732775331506,55,1,B02
-0.6967300324375676,-1.0962837197134794,5,1,B02
-2.150420151943484,-1.5612768664995644,60,1,B02
0.4569789140573155,-0.2291839827080743,65,1,B02
-2.521643699473708,-1.842941267457999,70,1,B02
-2.6635674330317283,-1.8804996940149696,75,1,B02
-2.3495252117952155,-1.6237837741790606,80,1,B02
-2.306658192024406,-1.504607695796373,85,1,B02
-2.3872999544924918,-1.6149909901131767,90,1,B02
-2.2062832884923247,-1.417702488698763,95,1,B02
-3.203654432328747,0.21557491026761005,100,2,B02
-1.0842052181231807,-1.9300993537497761,10,2,B02
-1.8879764633633191,-2.618893420805057,15,2,B02
-3.211845860481569,-3.1757789583610956,20,2,B02
-1.6439893347947878,-2.40427246374059,25,2,B02
-3.28500108167942,-3.242730876170123,30,2,B02
-2.5615419628058187,-2.4420581489032878,35,2,B02
-2.8094346997771953,-2.7140817103600594,40,2,B02
-2.908297013305498,-2.864443381941549,45,2,B02
-3.2355129561183955,-3.136848258279266,50,2,B02
-2.9545435497374646,-2.927999745720758,55,2,B02
-1.4136612081961912,-2.266829935400034,5,2,B02
-3.229261932560236,-3.2615148994679832,60,2,B02
-3.4840679274326103,-3.362824698138001,65,2,B02
-3.5715550071087887,-3.5652403711096015,70,2,B02
-3.6290150149953977,-3.603359702633379,75,2,B02
-3.7279620017735158,-3.6498140659718055,80,2,B02
-3.683484751946783,-3.6025219394728225,85,2,B02
-3.5945292844476655,-3.5846763448794934,90,2,B02
-2.9437193370697896,-2.8466254417929804,95,2,B02
2.0936174537408285,-1.864022423432941,100,1,B03
4.048479823464192,-2.5282886736338384,10,1,B03
4.4163834902959715,-1.6297479288152075,15,1,B03
4.364501598300461,-1.872739756776682,20,1,B03
4.6324524907647895,-0.02961448043259989,25,1,B03
3.5692671921690247,-2.2297475732126295,30,1,B03
4.242643666238393,-1.3810463041604797,35,1,B03
4.427354384228713,-0.8259869221886998,40,1,B03
4.05181087252554,-1.858551592468125,45,1,B03
3.8642052861640113,-2.0290599727733682,50,1,B03
4.737204773723773,0.04836271250099857,55,1,B03
4.615646188561784,-1.6612702192319597,5,1,B03
3.8009882114693903,-1.7723540691972295,60,1,B03
3.4927476153838177,-2.6793286344950045,65,1,B03
4.342880124965509,-1.9559506725634483,70,1,B03
3.417216431882002,-2.7757698072840107,75,1,B03
5.058594036281181,1.128996801191103,80,1,B03
3.855058818021834,-0.5649747795178983,85,1,B03
2.878230339631085,-3.3292279617452754,90,1,B03
2.80746835435416,-3.3446373368812896,95,1,B03
2.4230441849447173,-1.9056745341020396,100,2,B03
